Retail Holidays,2015 Year,2016 Year,2017 Year,2018 Year
New Years Day,1/1/2015,1/1/2016,1/1/2017,1/1/2018
Martin Luther King Day,1/19/2015,1/18/2016,1/16/2017,1/15/2018
Super Bowl,2/1/2015,2/7/2016,2/5/2017,2/4/2018
Valentine's Day,2/14/2015,2/14/2016,2/14/2017,2/14/2018
Easter,4/5/2015,3/27/2016,4/16/2017,4/1/2018
Earth Day,4/22/2015,4/22/2016,4/22/2017,4/22/2018
Mother's Day,5/10/2015,5/8/2016,5/14/2017,5/13/2018
Memorial Day,5/25/2015,5/30/2016,5/29/2017,5/28/2018
Father's Day,6/21/2015,6/19/2016,6/18/2017,6/17/2018
Independence Day,7/4/2015,7/4/2016,7/4/2017,7/4/2018
Labor Day,9/7/2015,9/5/2016,9/4/2017,9/3/2018
Halloween,10/31/2015,10/31/2016,10/31/2017,10/31/2018
Veteran's Day,11/11/2015,11/11/2016,11/11/2017,11/11/2018
Thanksgiving,11/26/2015,11/24/2016,11/23/2017,11/22/2018
Black Friday,11/27/2015,11/25/2016,11/24/2017,11/23/2018
Cyber Monday,11/30/2015,11/28/2016,11/27/2017,11/26/2018
Hanukkah,12/5/2015,12/23/2016,12/11/2017,12/1/2018
Christmas,12/25/2015,12/25/2016,12/25/2017,12/25/2018
New Year's Eve,12/31/2015,12/31/2016,12/31/2017,12/31/2018
