Hour,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
0,16749,72443,9637,4199,438,5874,522,9640,255
1,13786,54469,7506,3090,423,4730,401,10177,257
2,11575,31884,6486,2427,419,3988,401,9684,245
3,8554,19648,5264,2283,398,3136,375,6640,130
4,5839,11546,4048,1940,354,2374,335,3593,89
5,3964,8201,4566,1857,311,1742,266,1788,67
6,3160,7946,6921,1665,150,1270,224,836,66
7,4560,13973,14179,2914,123,1296,222,837,56
8,10377,29501,24686,6901,178,1958,368,1867,52
9,14882,39829,27553,7292,166,2659,436,3825,54
10,16978,44793,29193,7128,171,2983,522,5023,73
11,18490,47815,30748,7211,184,3170,553,6157,86
12,19629,46299,31374,6764,188,3534,569,6387,89
13,20336,44491,31220,6427,196,3565,620,6796,92
14,17225,37749,27714,4563,161,3462,491,6867,112
15,19599,37890,29586,5084,130,3856,636,6451,127
16,25835,50316,36490,8789,176,4591,756,7783,135
17,23541,48468,32441,7586,160,4363,708,9496,140
18,22502,44241,29011,6686,152,4713,627,11683,143
19,22037,46513,25485,5934,183,5154,684,16330,187
20,21582,45015,22108,5321,227,5705,654,17229,223
21,20652,47153,17172,4759,233,6194,575,16579,262
22,16719,66808,12033,3191,248,6157,437,14583,243
23,15684,68047,10154,3408,315,6022,470,10918,271
