Year,New Years Day,Martin Luther King Day,Super Bowl,Valentine's Day,Easter,Earth Day,Mother's Day,Memorial Day,Father's Day,Independence Day,Labor Day,Halloween,Veteran's Day,Thanksgiving,Black Friday,Cyber Monday,Hanukkah (first day),Christmas,New Year's Eve
2000,1-Jan,17-Jan,30-Jan,14-Feb,23-Apr,22-Apr,14-May,29-May,18-Jun,4-Jul,4-Sep,31-Oct,11-Nov,23-Nov,24-Nov,27-Nov,22-Dec,25-Dec,31-Dec
2001,1-Jan,15-Jan,28-Jan,14-Feb,15-Apr,22-Apr,13-May,28-May,17-Jun,4-Jul,3-Sep,31-Oct,11-Nov,22-Nov,23-Nov,26-Nov,10-Dec,25-Dec,31-Dec
2002,1-Jan,21-Jan,3-Feb,14-Feb,31-Mar,22-Apr,12-May,27-May,16-Jun,4-Jul,2-Sep,31-Oct,11-Nov,28-Nov,29-Nov,2-Dec,30-Nov,25-Dec,31-Dec
2003,1-Jan,20-Jan,26-Jan,14-Feb,20-Apr,22-Apr,11-May,26-May,15-Jun,4-Jul,1-Sep,31-Oct,11-Nov,27-Nov,28-Nov,1-Dec,20-Dec,25-Dec,31-Dec
2004,1-Jan,19-Jan,1-Feb,14-Feb,11-Apr,22-Apr,9-May,31-May,20-Jun,4-Jul,6-Sep,31-Oct,11-Nov,25-Nov,26-Nov,29-Nov,8-Dec,25-Dec,31-Dec
2005,1-Jan,17-Jan,6-Feb,14-Feb,27-Mar,22-Apr,8-May,30-May,19-Jun,4-Jul,5-Sep,31-Oct,11-Nov,24-Nov,25-Nov,28-Nov,26-Dec,25-Dec,31-Dec
2006,1-Jan,16-Jan,5-Feb,14-Feb,16-Apr,22-Apr,14-May,29-May,18-Jun,4-Jul,4-Sep,31-Oct,11-Nov,23-Nov,24-Nov,27-Nov,16-Dec,25-Dec,31-Dec
2007,1-Jan,15-Jan,4-Feb,14-Feb,8-Apr,22-Apr,13-May,28-May,17-Jun,4-Jul,3-Sep,31-Oct,11-Nov,22-Nov,23-Nov,26-Nov,5-Dec,25-Dec,31-Dec
2008,1-Jan,21-Jan,3-Feb,14-Feb,23-Mar,22-Apr,11-May,26-May,15-Jun,4-Jul,1-Sep,31-Oct,11-Nov,27-Nov,28-Nov,1-Dec,22-Dec,25-Dec,31-Dec
2009,1-Jan,19-Jan,1-Feb,14-Feb,12-Apr,22-Apr,10-May,25-May,21-Jun,4-Jul,7-Sep,31-Oct,11-Nov,26-Nov,27-Nov,30-Nov,12-Dec,25-Dec,31-Dec
2010,1-Jan,18-Jan,7-Feb,14-Feb,4-Apr,22-Apr,9-May,31-May,20-Jun,4-Jul,6-Sep,31-Oct,11-Nov,25-Nov,26-Nov,29-Nov,2-Dec,25-Dec,31-Dec
2011,1-Jan,17-Jan,6-Feb,14-Feb,24-Apr,22-Apr,8-May,30-May,19-Jun,4-Jul,5-Sep,31-Oct,11-Nov,24-Nov,25-Nov,28-Nov,21-Dec,25-Dec,31-Dec
2012,1-Jan,16-Jan,5-Feb,14-Feb,8-Apr,22-Apr,13-May,28-May,17-Jun,4-Jul,3-Sep,31-Oct,11-Nov,22-Nov,23-Nov,26-Nov,9-Dec,25-Dec,31-Dec
2013,1-Jan,21-Jan,3-Feb,14-Feb,31-Mar,22-Apr,12-May,27-May,16-Jun,4-Jul,2-Sep,31-Oct,11-Nov,28-Nov,29-Nov,2-Dec,28-Nov,25-Dec,31-Dec
2014,1-Jan,20-Jan,2-Feb,14-Feb,20-Apr,22-Apr,11-May,26-May,15-Jun,4-Jul,1-Sep,31-Oct,11-Nov,27-Nov,28-Nov,1-Dec,17-Dec,25-Dec,31-Dec
2015,1-Jan,19-Jan,1-Feb,14-Feb,5-Apr,22-Apr,10-May,25-May,21-Jun,4-Jul,7-Sep,31-Oct,11-Nov,26-Nov,27-Nov,30-Nov,7-Dec,25-Dec,31-Dec
2016,1-Jan,18-Jan,7-Feb,14-Feb,27-Mar,22-Apr,8-May,30-May,19-Jun,4-Jul,5-Sep,31-Oct,11-Nov,24-Nov,25-Nov,28-Nov,25-Dec,25-Dec,31-Dec
2017,1-Jan,16-Jan,5-Feb,14-Feb,16-Apr,22-Apr,14-May,29-May,18-Jun,4-Jul,4-Sep,31-Oct,11-Nov,23-Nov,24-Nov,27-Nov,13-Dec,25-Dec,31-Dec
2018,1-Jan,15-Jan,4-Feb,14-Feb,1-Apr,22-Apr,13-May,28-May,17-Jun,4-Jul,3-Sep,31-Oct,11-Nov,22-Nov,23-Nov,26-Nov,3-Dec,25-Dec,31-Dec
